#	Freq	Err	Tansmission
    3.41100E+02    1.42323E-01    8.67341E-01
    3.41200E+02    1.42350E-01    8.67318E-01
    3.41300E+02    1.42384E-01    8.67288E-01
    3.41400E+02    1.42425E-01    8.67253E-01
    3.41500E+02    1.42476E-01    8.67208E-01
    3.41600E+02    1.42537E-01    8.67156E-01
    3.41700E+02    1.42612E-01    8.67091E-01
    3.41800E+02    1.42727E-01    8.66991E-01
    3.41900E+02    1.43012E-01    8.66743E-01
    3.42000E+02    1.42953E-01    8.66794E-01
    3.42100E+02    1.43525E-01    8.66299E-01
    3.42200E+02    1.43159E-01    8.66616E-01
    3.42300E+02    1.43282E-01    8.66510E-01
    3.42400E+02    1.43452E-01    8.66362E-01
    3.42500E+02    1.43709E-01    8.66140E-01
    3.42600E+02    1.43942E-01    8.65938E-01
    3.42700E+02    1.44340E-01    8.65593E-01
    3.42800E+02    1.44959E-01    8.65058E-01
    3.42900E+02    1.45981E-01    8.64174E-01
    3.43000E+02    1.48145E-01    8.62306E-01
    3.43100E+02    1.54553E-01    8.56798E-01
    3.43200E+02    1.81618E-01    8.33920E-01
    3.43300E+02    1.62837E-01    8.49729E-01
    3.43400E+02    1.52634E-01    8.58444E-01
    3.43500E+02    1.62318E-01    8.50171E-01
    3.43600E+02    1.48905E-01    8.61651E-01
    3.43700E+02    1.46583E-01    8.63654E-01
    3.43800E+02    1.45769E-01    8.64357E-01
    3.43900E+02    1.45426E-01    8.64654E-01
    3.44000E+02    1.45224E-01    8.64828E-01
    3.44100E+02    1.45142E-01    8.64899E-01
    3.44200E+02    1.45120E-01    8.64919E-01
    3.44300E+02    1.45137E-01    8.64904E-01
    3.44400E+02    1.45189E-01    8.64858E-01
    3.44500E+02    1.45266E-01    8.64792E-01
    3.44600E+02    1.45383E-01    8.64691E-01
    3.44700E+02    1.45481E-01    8.64606E-01
    3.44800E+02    1.45641E-01    8.64468E-01
    3.44900E+02    1.45770E-01    8.64357E-01
    3.45000E+02    1.45826E-01    8.64308E-01
    3.45100E+02    1.45943E-01    8.64207E-01
    3.45200E+02    1.46077E-01    8.64091E-01
    3.45300E+02    1.46215E-01    8.63972E-01
    3.45400E+02    1.46364E-01    8.63844E-01
    3.45500E+02    1.46516E-01    8.63712E-01
    3.45600E+02    1.46674E-01    8.63576E-01
    3.45700E+02    1.46835E-01    8.63436E-01
